nomor_bupot;Masa_Pajak;Kode_objek_pajak;DPP;Pajak_Penghasilan;NPWP_Pemotong;Nama_Pemotong;Tanggal_bupot;tanggal_dokumen
2506W8BVJ;11-2025;22-910-01;1785848;26788;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;19 November 2025;20 November 2025
2506W8BXA;11-2025;22-910-01;3666667;55000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;19 November 2025;20 November 2025
2506W8BY1;11-2025;22-910-01;4440000;66600;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;20 November 2025;20 November 2025
2506W8DRH;11-2025;24-104-65;2019144;40383;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;11 November 2025;13 November 2025
2506W8HTA;11-2025;22-910-01;5223423;78351;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 November 2025;03 November 2025
2506W8HTY;11-2025;22-910-01;2627027;39405;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 November 2025;03 November 2025
2506W8HUR;11-2025;24-104-65;405000;8100;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 November 2025;03 November 2025
2506W8HUG;11-2025;24-104-65;700000;14000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 November 2025;03 November 2025
2506W8HUS;11-2025;24-104-65;255000;5100;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 November 2025;03 November 2025
2506S1GH3;11-2025;22-910-01;4335135;65027;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;27 November 2025;03 Desember 2025
2506WO6EP;12-2025;22-910-01;1872973;28095;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 Desember 2025;03 Desember 2025
2506XB5JZ;12-2025;22-910-01;4335135;65027;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 Desember 2025;04 Desember 2025
2506XP1H6;11-2025;24-100-02;800000;16000;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;04 November 2025;30 November 2025
2506XP1RQ;11-2025;24-100-02;4961600;99232;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;10 November 2025;30 November 2025
2506YHOI1;12-2025;22-910-01;34345500;515183;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;04 Desember 2025;04 Desember 2025
2506Z4B4D;12-2025;24-104-24;8887387;177748;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;04 Desember 2025;05 Desember 2025
2506Z5HV5;12-2025;24-104-29;14144144;282883;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;04 Desember 2025;05 Desember 2025
250736H74;11-2025;24-104-65;3108108;62162;0001380575512000;SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH KOTA SEMARANG;21 November 2025;09 Desember 2025
250736H73;11-2025;24-104-65;2980180;59604;0001380575512000;SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH KOTA SEMARANG;21 November 2025;09 Desember 2025
250763IZJ;12-2025;22-910-01;26250000;393750;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;09 Desember 2025;10 Desember 2025
25077MVQW;11-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;07 November 2025;30 November 2025
25077MVP8;11-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;14 Oktober 2025;30 November 2025
25077MVY9;11-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;07 November 2025;30 November 2025
25077MZ0M;11-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;14 Oktober 2025;30 November 2025
25078HDWB;11-2025;22-910-01;2853153;42797;0955493663512000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SEMARANG;24 November 2025;24 November 2025
25078HE1M;11-2025;22-910-01;2477477;37162;0955493663512000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SEMARANG;24 November 2025;24 November 2025
25078HE0K;11-2025;22-910-01;3468468;52027;0955493663512000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SEMARANG;24 November 2025;24 November 2025
2507DMYQE;12-2025;22-910-01;25200000;378000;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;12 Desember 2025;15 Desember 2025
2507IRZRA;11-2025;22-910-01;1756500000;26347500;0001434372504000;BADAN PENGELOLA PENDAPATAN DAERAH PROVINSI JAWA TENGAH;19 November 2025;17 Desember 2025
2507ISC9Q;11-2025;22-910-01;77200000;1158000;0001434372504000;BADAN PENGELOLA PENDAPATAN DAERAH PROVINSI JAWA TENGAH;07 November 2025;19 November 2025
2507JY2DQ;12-2025;22-910-01;9000000;135000;0002874402517000;KECAMATAN CANDISARI KOTA SEMARANG;12 Desember 2025;12 Desember 2025
2507JY2E7;12-2025;22-910-01;2400000;36000;0002874402517000;KECAMATAN CANDISARI KOTA SEMARANG;12 Desember 2025;12 Desember 2025
2507LZ1Q4;11-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;25 November 2025;25 November 2025
2507S2WEG;12-2025;24-104-29;3702703;74054;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;03 Desember 2025;03 Desember 2025
2507S2WH0;12-2025;22-900-01;18288288;274324;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;02 Desember 2025;02 Desember 2025
2502LLXFH;05-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;05 Juni 2025;31 Mei 2025
2502LM3PB;05-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;05 Juni 2025;31 Mei 2025
250267OTS;05-2025;22-910-01;2286622;34299;0002989515512000;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA SEMARANG;15 Mei 2025;22 Mei 2025
